ticker,Market Cap ,Price/Book (mrq),Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin (ttm),Operating Margin (ttm),Revenue (ttm),Gross Profit (ttm),EBITDA (ttm),Net Income Avl to Common (ttm),Total Cash (mrq),Total Debt (mrq),Beta,% Held by Insiders,% Held by Institutions
BCR,13.59B,9.30,Dec 31,"Sep 30, 2015",3.91%,25.12%,4.15,2.06B,13.63,131.10M,1.00B,1.41B,0.60,0.51%,90.60%
BAX,20.72B,2.59,Dec 31,"Sep 30, 2015",10.65%,19.48%,1.76,8.16B,6.82,1.83B,6.68B,14.23B,0.81,10.11%,84.90%
BBT,29.89B,1.21,Dec 31,"Sep 30, 2015",23.94%,37.93%,6.04,N/A,N/A,2.00B,4.13B,28.53B,0.85,0.33%,60.00%
BDX,31.98B,4.41,Sep 30,"Sep 30, 2015",6.76%,14.59%,4.24,4.30B,19.20,695.00M,1.60B,13.17B,1.16,0.28%,85.60%
BBBY,9.53B,3.83,Feb 28,"Aug 29, 2015",7.55%,12.56%,0.89,4.62B,6.05,906.60M,696.47M,1.50B,0.95,3.33%,99.60%
BRK-B,332.66B,0.00,Dec 31,"Sep 30, 2015",11.58%,18.59%,0.12,N/A,0.55,22.76B,60.86B,84.91B,0.29,N/A,N/A
BBY,11.80B,2.58,Jan 31,"Aug 1, 2015",2.28%,3.78%,0.25,9.05B,4.60,841.00M,3.50B,1.61B,1.57,13.81%,89.20%
BIIB,65.74B,6.27,Dec 31,"Sep 30, 2015",34.07%,46.31%,6.34,8.53B,12.19,3.60B,5.84B,6.53B,0.39,0.10%,91.20%
BLK,58.27B,2.07,Dec 31,"Sep 30, 2015",29.12%,41.26%,5.02,10.85B,11.52,3.30B,37.10B,35.73B,1.82,2.67%,88.30%
BA,97.32B,14.45,Dec 31,"Sep 30, 2015",5.79%,8.29%,0.99,14.01B,9.73,5.61B,9.82B,9.02B,1.03,0.06%,74.60%
BWA,9.33B,2.54,Dec 31,"Sep 30, 2015",7.91%,12.92%,1.29,1.76B,7.62,624.30M,1.03B,1.81B,1.29,0.43%,96.60%
BXP,19.11B,3.37,Dec 31,"Sep 30, 2015",24.77%,34.77%,11.02,1.53B,18.30,608.98M,1.39B,9.93B,0.25,0.63%,97.90%
BSX,24.24B,3.94,Dec 31,"Sep 30, 2015",-5.41%,14.32%,4.21,5.17B,17.12,-396.00M,350.00M,5.86B,1.01,0.80%,91.60%
BMY,107.20B,7.20,Dec 31,"Sep 30, 2015",10.74%,22.61%,6.68,11.95B,24.72,1.78B,5.41B,7.28B,1.09,0.11%,73.50%
BRCM,31.59B,3.14,Dec 31,"Sep 30, 2015",16.67%,19.80%,3.47,4.33B,14.84,1.41B,3.46B,1.59B,0.25,0.06%,87.60%
BF-B,21.74B,12.59,Apr 30,"Jul 31, 2015",22.06%,33.44%,7.19,2.18B,20.51,690.00M,494.00M,1.49B,0.46,N/A,N/A
CHRW,9.89B,8.79,Dec 31,"Sep 30, 2015",3.64%,6.10%,0.80,2.01B,12.22,496.06M,143.09M,1.03B,0.41,1.41%,88.40%
CA,11.93B,2.06,Mar 31,"Sep 30, 2015",18.53%,28.54%,2.74,3.35B,8.72,734.00M,2.46B,1.80B,0.83,28.65%,69.10%
CVC,11.31B,N/A,Dec 31,"Sep 30, 2015",3.06%,13.60%,2.67,3.32B,9.92,210.39M,872.64M,9.63B,0.51,15.99%,80.20%
COG,8.66B,4.42,Dec 31,"Sep 30, 2015",-14.97%,-30.10%,7.60,1.65B,58.57,-224.54M,8.77M,2.04B,0.58,1.67%,103.90%
CAM,12.95B,2.95,Dec 31,"Sep 30, 2015",6.62%,13.49%,1.47,2.92B,8.52,203.00M,1.95B,2.83B,-0.01,0.74%,93.00%
CPB,15.16B,10.85,Aug 2,"Aug 2, 2015",8.55%,15.16%,2.33,2.80B,12.31,691.00M,253.00M,4.10B,0.59,39.34%,43.80%
COF,42.79B,0.90,Dec 31,"Sep 30, 2015",22.00%,35.77%,4.13,N/A,N/A,3.94B,8.75B,43.25B,1.14,0.52%,91.70%
CAH,28.70B,4.45,Jun 30,"Sep 30, 2015",1.25%,2.22%,0.30,5.71B,11.10,1.33B,2.97B,5.55B,0.73,0.20%,88.30%
KMX,11.38B,3.61,Feb 28,"Aug 31, 2015",4.23%,7.07%,1.43,1.89B,18.07,627.39M,100.57M,9.83B,1.03,0.56%,103.90%
CCL,41.15B,1.70,Nov 30,"Aug 31, 2015",8.93%,11.09%,3.10,5.48B,14.51,1.40B,540.00M,7.90B,0.57,27.07%,36.60%
CAT,41.94B,2.65,Dec 31,"Sep 30, 2015",5.87%,9.50%,1.49,14.79B,9.56,2.95B,4.81B,37.55B,1.13,0.23%,66.60%
CBG,12.01B,4.70,Dec 31,"Sep 30, 2015",5.75%,9.01%,1.53,999.70M,12.95,571.37M,440.36M,3.71B,1.32,1.23%,95.20%
CBS,23.77B,4.01,Dec 31,"Sep 30, 2015",11.46%,20.52%,2.35,13.81B,10.45,1.55B,133.00M,8.80B,2.00,2.86%,86.50%
CELG,88.32B,16.66,Dec 31,"Sep 30, 2015",18.85%,28.35%,11.09,7.28B,33.97,1.65B,7.53B,15.50B,1.96,0.27%,81.50%
CNP,7.48B,1.82,Dec 31,"Sep 30, 2015",-0.09%,11.65%,1.87,2.34B,7.93,-7.00M,1.11B,8.65B,0.59,0.40%,75.90%
CTL,15.61B,1.11,Dec 31,"Sep 30, 2015",4.08%,14.25%,2.00,10.18B,5.37,728.00M,355.00M,20.41B,1.14,0.48%,76.50%
CERN,20.09B,5.29,Jan 3,"Oct 3, 2015",12.70%,20.36%,4.98,2.80B,18.05,521.13M,464.54M,630.67M,1.13,11.05%,82.20%
CF,11.16B,2.68,Dec 31,"Sep 30, 2015",20.68%,34.03%,3.56,1.78B,8.07,911.70M,943.20M,5.59B,1.02,5.63%,94.60%
CHK,4.34B,3.84,Dec 31,"Sep 30, 2015",-86.34%,7.35%,1.13,7.08B,4.27,-12.04B,1.76B,11.60B,1.05,0.92%,96.30%
CVX,173.73B,1.13,Dec 31,"Sep 30, 2015",6.34%,0.83%,1.45,55.54B,9.16,8.65B,13.24B,35.88B,1.28,0.04%,62.60%
CMG,19.38B,8.17,Dec 31,"Sep 30, 2015",11.57%,18.76%,4.08,1.12B,18.96,528.96M,959.74M,0.00,0.23,1.58%,92.40%
CB,29.38B,1.80,Dec 31,"Sep 30, 2015",14.53%,21.34%,2.12,7.11B,9.77,2.03B,3.10B,3.30B,1.04,0.30%,86.20%
CI,34.00B,2.94,Dec 31,"Sep 30, 2015",5.73%,9.82%,1.00,13.58B,9.35,2.14B,2.48B,5.20B,0.37,2.74%,88.50%
XEC,10.95B,3.24,Dec 31,"Sep 30, 2015",-101.36%,7.60%,6.98,1.85B,11.98,-1.71B,899.31M,1.50B,1.32,1.36%,95.90%
CINF,9.95B,1.56,Dec 31,"Sep 30, 2015",12.55%,18.56%,2.00,788.00M,10.23,645.00M,494.00M,861.00M,1.07,13.79%,63.70%
CTAS,9.88B,5.43,May 31,"Aug 31, 2015",9.20%,15.71%,2.40,1.92B,12.54,403.34M,200.21M,1.30B,0.70,18.18%,71.80%
CSCO,141.37B,2.38,Jul 25,"Jul 25, 2015",18.27%,22.97%,2.17,29.68B,7.96,8.98B,60.42B,25.35B,1.02,0.11%,77.00%
C,163.68B,0.81,Dec 31,"Sep 30, 2015",20.74%,30.76%,-0.09,69.27B,N/A,13.42B,660.44B,468.85B,1.45,0.11%,74.60%
CTXS,12.46B,6.11,Dec 31,"Sep 30, 2015",8.79%,16.94%,3.95,2.52B,15.98,283.32M,1.07B,1.32B,1.32,6.57%,95.60%
CLX,15.97B,132.34,Jun 30,"Sep 30, 2015",11.63%,18.39%,3.10,2.46B,14.75,634.00M,383.00M,2.23B,0.51,0.18%,75.80%
CME,33.18B,1.54,Dec 31,"Sep 30, 2015",37.62%,60.05%,10.07,2.99B,15.05,1.26B,1.51B,2.24B,0.59,4.48%,78.80%
CMS,9.82B,2.48,Dec 31,"Sep 30, 2015",7.65%,17.76%,2.78,2.09B,9.89,513.00M,150.00M,8.82B,0.29,0.91%,90.00%
COH,8.38B,3.52,Jun 27,"Sep 26, 2015",9.08%,17.17%,1.99,2.91B,9.03,379.70M,1.28B,890.60M,0.74,0.12%,93.60%
KO,183.09B,6.96,Dec 31,"Oct 2, 2015",15.24%,23.09%,4.55,28.11B,16.60,6.88B,22.80B,46.46B,0.85,0.69%,63.20%
CCE,11.72B,11.50,Dec 31,"Oct 2, 2015",7.56%,13.02%,2.11,2.97B,12.52,552.00M,196.00M,4.00B,1.13,3.21%,77.50%
CTSH,41.29B,4.69,Dec 31,"Sep 30, 2015",13.11%,17.34%,3.21,4.12B,16.14,1.56B,4.05B,950.00M,1.07,0.45%,91.60%
CL,59.72B,233.73,Dec 31,"Sep 30, 2015",15.10%,24.69%,3.97,10.11B,14.51,2.47B,1.59B,6.79B,0.92,0.31%,74.90%
CMCSA,150.94B,2.93,Dec 31,"Sep 30, 2015",11.12%,22.00%,2.70,47.86B,8.03,8.12B,2.03B,47.76B,1.02,0.16%,84.60%
CMA,8.18B,1.08,Dec 31,"Sep 30, 2015",21.42%,32.70%,1.63,N/A,N/A,548.00M,7.68B,3.72B,1.16,0.71%,86.40%
CSC,9.28B,3.05,Apr 3,"Oct 2, 2015",0.19%,2.54%,0.89,2.64B,10.73,22.00M,1.82B,2.61B,0.69,0.39%,95.20%
CAG,17.71B,5.30,May 31,"Aug 30, 2015",-11.91%,10.40%,1.61,3.31B,11.59,-549.40M,114.30M,7.87B,0.31,3.04%,74.40%
COP,66.08B,1.53,Dec 31,"Sep 30, 2015",-2.85%,-2.84%,2.52,21.52B,10.22,-1.02B,2.41B,24.89B,0.94,0.02%,65.80%
CNX,1.72B,0.40,Dec 31,"Sep 30, 2015",-11.32%,12.76%,1.89,1.50B,5.59,-331.62M,83.02M,3.73B,1.41,34.71%,84.70%
ED,18.47B,1.41,Dec 31,"Sep 30, 2015",8.67%,17.97%,2.50,5.11B,9.35,1.10B,91.00M,13.44B,0.16,0.17%,54.50%
STZ,26.57B,4.36,Feb 28,"Aug 31, 2015",15.61%,27.83%,5.36,2.58B,17.20,977.80M,332.70M,7.44B,0.17,199.14%,87.50%
GLW,21.92B,1.26,Dec 31,"Sep 30, 2015",22.65%,18.47%,2.29,4.05B,7.33,2.01B,5.01B,4.02B,1.31,0.19%,80.20%
COST,68.36B,6.45,Aug 30,"Aug 30, 2015",2.05%,3.12%,0.59,15.13B,14.40,2.38B,6.42B,6.44B,0.79,0.79%,73.50%
CCI,28.30B,3.88,Dec 31,"Sep 30, 2015",40.26%,27.85%,10.55,2.34B,19.09,511.80M,184.12M,12.14B,0.30,0.73%,96.20%
CSX,26.90B,2.34,Dec 26,"Sep 25, 2015",16.31%,30.28%,2.98,8.57B,7.45,1.99B,966.00M,10.11B,1.21,0.35%,71.10%
CMI,17.75B,2.36,Dec 31,"Sep 27, 2015",8.65%,11.07%,0.94,4.86B,6.87,1.68B,1.72B,1.65B,1.12,0.21%,84.70%
CVS,105.35B,2.92,Dec 31,"Sep 30, 2015",3.39%,6.16%,0.89,25.37B,11.89,5.03B,3.01B,27.22B,1.08,0.23%,85.10%
DHI,11.73B,2.03,Sep 30,"Jun 30, 2015",6.70%,10.60%,1.43,1.76B,12.88,678.00M,766.70M,3.82B,1.06,9.63%,85.30%
DHR,65.25B,2.82,Dec 31,"Oct 2, 2015",16.12%,17.69%,3.79,10.44B,16.79,2.57B,1.83B,15.01B,1.04,12.81%,84.30%
DRI,7.09B,2.89,May 31,"Aug 30, 2015",4.27%,7.67%,1.13,1.42B,9.31,296.70M,690.10M,1.45B,0.30,9.90%,83.30%
DVA,15.82B,3.22,Dec 31,"Sep 30, 2015",3.57%,13.69%,1.72,3.68B,9.37,483.75M,1.97B,9.20B,0.65,1.49%,85.70%
DE,24.66B,3.24,Oct 31,"Jul 31, 2015",7.20%,10.38%,1.90,11.29B,13.10,2.24B,3.32B,37.23B,0.98,9.36%,74.10%
DLPH,23.52B,10.06,Dec 31,"Sep 30, 2015",9.66%,12.29%,1.56,3.17B,9.95,1.38B,434.00M,3.12B,0.95,0.48%,96.60%
DAL,39.35B,3.83,Dec 31,"Sep 30, 2015",6.94%,14.97%,1.09,17.40B,5.72,2.83B,3.82B,8.80B,1.28,0.28%,89.50%
XRAY,8.51B,3.76,Dec 31,"Sep 30, 2015",10.19%,16.27%,3.49,1.60B,16.77,277.35M,236.60M,1.16B,1.44,0.35%,92.60%
DVN,18.81B,1.70,Dec 31,"Sep 30, 2015",-74.49%,-87.21%,2.15,17.23B,-3.42,-10.33B,1.79B,11.93B,1.44,5.84%,79.10%
DO,3.02B,0.70,Dec 31,"Sep 30, 2015",2.81%,23.30%,2.17,2.74B,4.97,69.94M,154.75M,2.49B,1.10,53.34%,48.20%
DTV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFS,24.35B,2.28,Dec 31,"Sep 30, 2015",31.07%,52.03%,5.36,N/A,N/A,2.15B,10.30B,23.87B,1.29,0.84%,85.50%
DISCA,17.83B,3.44,Dec 31,"Sep 30, 2015",16.58%,33.55%,3.13,4.14B,8.10,1.06B,406.00M,7.06B,1.75,1.57%,115.20%
DG,18.52B,3.59,Jan 30,"Jul 31, 2015",5.73%,9.56%,1.13,5.80B,9.94,1.13B,180.52M,2.86B,0.88,5.30%,91.90%
DLTR,15.54B,3.93,Jan 31,"Aug 1, 2015",3.19%,11.08%,2.35,3.03B,17.28,311.00M,1.31B,8.35B,0.64,3.53%,87.40%
D,40.70B,3.21,Dec 31,"Sep 30, 2015",14.79%,30.30%,5.61,4.56B,12.78,1.78B,249.00M,27.54B,0.33,0.39%,61.30%
DOV,9.85B,2.78,Dec 31,"Sep 30, 2015",12.39%,14.70%,1.65,2.97B,8.65,631.14M,662.67M,2.69B,1.26,0.86%,92.40%
DOW,59.99B,2.95,Dec 31,"Sep 30, 2015",9.46%,11.80%,1.40,10.70B,8.37,4.52B,7.36B,19.75B,1.08,0.02%,70.00%
DPS,16.74B,7.50,Dec 31,"Sep 30, 2015",11.67%,19.70%,3.03,3.63B,13.10,729.00M,216.00M,2.65B,0.79,0.30%,94.60%
DTE,14.54B,1.63,Dec 31,"Sep 30, 2015",8.66%,15.14%,2.18,3.08B,9.36,945.00M,67.00M,9.51B,0.31,0.46%,65.10%
DD,58.75B,5.40,Dec 31,"Sep 30, 2015",8.98%,12.38%,2.01,13.02B,11.69,3.16B,3.73B,9.94B,1.82,0.14%,68.70%
DUK,47.04B,1.16,Dec 31,"Sep 30, 2015",10.45%,23.34%,3.76,9.60B,9.76,2.40B,1.38B,42.69B,0.34,0.07%,56.10%
DNB,4.00B,N/A,Dec 31,"Sep 30, 2015",10.81%,23.53%,3.18,1.68B,12.70,227.60M,293.90M,1.76B,1.44,0.34%,94.50%
ETFC,8.70B,1.50,Dec 31,"Sep 30, 2015",12.08%,35.20%,5.63,1.66B,N/A,220.00M,1.69B,3.21B,1.23,0.19%,95.20%
EMN,10.03B,2.63,Dec 31,"Sep 30, 2015",7.57%,17.77%,1.76,2.22B,7.54,740.00M,309.00M,7.31B,1.38,0.68%,85.50%
ETN,25.76B,1.69,Dec 31,"Sep 30, 2015",9.49%,11.53%,1.60,6.91B,10.05,2.03B,568.00M,8.67B,1.44,0.30%,76.50%
EBAY,34.85B,5.40,Dec 31,"Sep 30, 2015",12.83%,19.21%,2.10,12.17B,7.59,3.06B,5.30B,7.44B,1.08,7.31%,82.90%
ECL,34.73B,5.07,Dec 31,"Sep 30, 2015",8.17%,14.88%,2.96,6.60B,14.02,1.13B,184.80M,6.76B,1.01,9.89%,79.20%
EIX,19.82B,1.69,Dec 31,"Sep 30, 2015",12.35%,18.74%,2.66,4.67B,8.10,1.44B,134.00M,12.41B,0.32,0.21%,83.30%
EW,17.00B,7.01,Dec 31,"Sep 30, 2015",18.99%,25.39%,6.70,1.70B,23.72,463.40M,1.25B,604.90M,0.51,0.78%,86.90%
EA,22.23B,7.02,Mar 31,"Sep 30, 2015",19.38%,21.97%,4.61,3.09B,17.60,839.00M,2.59B,435.00M,12.58,0.66%,104.40%
EMC,49.46B,2.39,Dec 31,"Sep 30, 2015",9.56%,15.24%,1.97,15.25B,9.37,2.36B,7.64B,7.44B,1.05,0.46%,84.00%
EMR,31.61B,3.87,Sep 30,"Sep 30, 2015",12.15%,15.71%,1.58,10.16B,8.16,2.71B,3.05B,6.84B,1.17,0.62%,72.90%
ENDP,12.85B,1.82,Dec 31,"Sep 30, 2015",-42.63%,22.69%,5.91,1.48B,19.00,-1.51B,836.11M,9.04B,0.94,9.21%,92.20%
ESV,4.10B,0.48,Dec 31,"Sep 30, 2015",-58.59%,39.77%,2.08,2.49B,3.95,-2.17B,1.09B,5.90B,4.25,0.46%,88.90%
ETR,11.81B,1.26,Dec 31,"Sep 30, 2015",-1.32%,16.34%,2.11,4.37B,6.56,-156.01M,1.04B,14.14B,0.60,0.17%,87.20%
EOG,45.87B,3.58,Dec 31,"Sep 30, 2015",-36.59%,-53.57%,5.14,15.50B,10.69,-3.80B,742.69M,6.43B,0.87,0.61%,89.50%
EQT,9.70B,1.97,Dec 31,"Sep 30, 2015",9.33%,39.53%,5.39,2.03B,7.12,205.45M,1.66B,3.33B,0.88,9.52%,70.80%
EFX,12.65B,5.60,Dec 31,"Sep 30, 2015",15.84%,27.11%,5.23,1.59B,15.04,415.20M,108.50M,1.33B,0.94,0.81%,89.00%
EQIX,17.01B,11.45,Dec 31,"Sep 30, 2015",-6.76%,22.24%,8.11,1.25B,19.38,-178.06M,335.47M,4.64B,0.57,0.22%,48.80%
EQR,28.57B,2.71,Dec 31,"Sep 30, 2015",32.64%,35.93%,14.49,1.73B,22.36,876.56M,47.12M,10.80B,0.13,1.74%,98.10%
